ID,Mode,KC,P,HP,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time,pre_rx,pre_ry
1,1,TP3,False,False,False,False,0.3,end,へ,0.009374999,-0.002499999,0.006128732,,,,,,-0.01796642,,,,,,-1,-1,,0,0
1,1,TP3,False,False,False,False,0.3,begin,S,0.028125,-0.002499999,0.03064366,0.03081157,0.03072761,0.03072761,-1,-1,-0.02115672,-0.0217444,-0.02233209,-0.02233209,-1,-1,-1,-1,2.130205,0.006128732,-0.01796642
1,1,TP3,False,False,False,False,0.3,end,S,0.028125,-0.002499999,0.02980411,,,,,,-0.01460821,,,,,,-1,-1,,0.006128732,-0.01796642
1,1,TP3,False,False,False,False,0.3,begin,う,-0.028125,0.0125,-0.02955224,-0.02543844,-0.02468284,-0.02468284,-0.02224814,-0.0217444,0.004869403,0.003777985,0.003610075,0.003610075,0.002434702,0.002014925,-1,-1,2.007366,0.02980411,-0.01460821
1,1,TP3,False,False,False,False,0.3,end,う,-0.028125,0.0125,-0.02913246,,,,,,0.0288806,,,,,,-1,-1,,0.02980411,-0.01460821
1,1,TP3,False,False,False,False,0.3,begin,て,-0.028125,-0.002499999,-0.0288806,-0.03190299,-0.03190299,-0.03190299,-0.03139926,-0.02972015,-0.01234142,-0.01771455,-0.01771455,-0.01771455,-0.01863806,-0.02048508,-1,-1,2.211112,-0.02913246,0.0288806
1,1,TP3,False,False,False,False,0.3,end,て,-0.028125,-0.002499999,0.009654852,,,,,,-0.01041045,,,,,,-1,-1,,-0.02913246,0.0288806
1,1,TP3,False,False,False,False,0.3,begin,い,-0.028125,0.0125,-0.01905784,-0.01578358,-0.01578358,-0.0136847,-0.0136847,-0.006548508,0.006548508,0.00176306,0.00176306,-0.004617538,-0.004617538,-0.01250933,-1,-1,2.088937,0.009654852,-0.01041045
1,1,TP3,False,False,False,False,0.3,end,い,-0.028125,0.0125,-0.05112873,,,,,,0.008143658,,,,,,-1,-1,,0.009654852,-0.01041045
1,1,TP3,False,False,False,False,0.3,begin,え,-0.028125,0.0125,-0.0384515,-0.0369403,-0.0369403,-0.03626866,-0.03223881,-0.02871269,0.006968284,0.002602612,0.002602612,0.001679105,-0.003190299,-0.007891792,-1,-1,2.184916,-0.05112873,0.008143658
1,1,TP3,False,False,False,False,0.3,end,え,-0.028125,0.0125,0.004449627,,,,,,0.009738807,,,,,,-1,-1,,-0.05112873,0.008143658
1,1,TP3,False,False,False,False,0.3,begin,ち,-0.028125,-0.002499999,-0.02392724,-0.02090485,-0.02065299,-0.02065299,-0.01653918,-0.01326493,-0.01301306,-0.01192164,-0.01158582,-0.01158582,-0.01015858,-0.00915112,-1,-1,2.131937,0.004449627,0.009738807
1,1,TP3,False,False,False,False,0.3,end,ち,-0.028125,-0.002499999,-0.06002799,,,,,,-0.01158582,,,,,,-1,-1,,0.004449627,0.009738807
1,1,TP3,False,False,False,False,0.3,begin,ま,-0.028125,-0.0175,-0.03265858,-0.03215485,-0.03215485,-0.03190299,-0.03190299,-0.02904851,-0.02669776,-0.02837687,-0.02837687,-0.02904851,-0.02904851,-0.02736941,-1,-1,2.185637,-0.06002799,-0.01158582
1,1,TP3,False,False,False,False,0.3,end,ま,-0.028125,-0.0175,-0.03081157,,,,,,-0.02846082,,,,,,-1,-1,,-0.06002799,-0.01158582
1,1,TP3,False,False,False,False,0.3,begin,B,0.028125,0.0125,0.0232556,0.0256903,0.0256903,0.0256903,0.02518657,0.02443097,0.01158582,0.01553172,0.01553172,0.01553172,0.01561567,0.01477612,-1,-1,1.990572,-0.03081157,-0.02846082
1,1,TP3,False,False,False,False,0.3,end,B,0.028125,0.0125,0.03198694,,,,,,0.01402052,,,,,,-1,-1,,-0.03081157,-0.02846082
1,1,TP3,False,False,False,False,0.3,begin,！,0.009374999,-0.0325,0.00352612,0.01721082,0.01721082,0.01721082,0.01721082,0.01721082,-0.04365672,-0.04038247,-0.04038247,-0.04038247,-0.04038247,-0.04038247,-1,-1,2.063393,0.03198694,0.01402052
1,1,TP3,False,False,False,False,0.3,end,！,0.009374999,-0.0325,0.001595149,,,,,,-0.01024254,,,,,,-1,-1,,0.03198694,0.01402052
1,1,TP3,False,False,False,False,0.3,begin,。,0.009374999,-0.0325,0.006884329,0.006716419,0.006716419,0.006716419,-1,-1,-0.03358209,-0.02560635,-0.02560635,-0.02560635,-1,-1,-1,-1,2.364058,0.001595149,-0.01024254
1,1,TP3,False,False,False,False,0.3,end,。,0.009374999,-0.0325,-1,,,,,,-1,,,,,,-1,-1,,0.001595149,-0.01024254
1,1,TP3,False,False,False,False,0.3,begin,S,0.028125,-0.002499999,0.02317164,0.02468284,0.02468284,0.02443097,0.02434702,0.02350746,-0.002518657,0.0006716418,0.0006716418,0.001847015,0.002014925,0.004701493,-1,-1,2.854654,-1,-1
1,1,TP3,False,False,False,False,0.3,end,S,0.028125,-0.002499999,0.02728545,,,,,,0.0002518657,,,,,,-1,-1,,-1,-1
1,1,TP3,False,False,False,False,0.3,begin,S,0.028125,-0.002499999,0.0296362,0.02350746,0.02132463,0.02132463,0.01922575,0.01947761,-0.003442165,-0.00528918,-0.005876866,-0.005876866,-0.00722015,-0.008311568,-1,-1,1.90814,0.02728545,0.0002518657
1,1,TP3,False,False,False,False,0.3,end,S,0.028125,-0.002499999,0.02988806,,,,,,-0.003610075,,,,,,-1,-1,,0.02728545,0.0002518657
1,1,TP3,False,False,False,False,0.3,begin,そ,0.009374999,0.0125,0.008143658,0.0127612,0.0136847,0.0136847,0.01830224,0.01830224,0.01796642,0.01360075,0.01301306,0.01301306,0.006716419,0.006716419,-1,-1,2.088709,0.02988806,-0.003610075
1,1,TP3,False,False,False,False,0.3,end,そ,0.009374999,0.0125,0.01418843,,,,,,-0.003777985,,,,,,-1,-1,,0.02988806,-0.003610075
1,1,TP3,False,False,False,False,0.3,begin,を,-0.009374999,-0.0325,-0.0005876866,-0.007975747,-0.007975747,-0.01024254,0.006548508,0.006548508,-0.03274254,-0.03576493,-0.03576493,-0.03643657,-0.01922575,-0.01922575,-1,-1,2.324436,0.01418843,-0.003777985
1,1,TP3,False,False,False,False,0.3,end,を,-0.009374999,-0.0325,-0.0401306,,,,,,-0.02804105,,,,,,-1,-1,,0.01418843,-0.003777985
1,1,TP3,False,False,False,False,0.3,begin,け,-0.009374999,0.0125,-0.01645523,-0.02107276,-0.02107276,-0.03064366,-0.03064366,-0.03181903,0.01486008,0.009654852,0.009654852,0.003610075,0.003610075,0.001511194,-1,-1,2.255894,-0.0401306,-0.02804105
1,1,TP3,False,False,False,False,0.3,end,け,-0.009374999,0.0125,0.02191232,,,,,,0.01553172,,,,,,-1,-1,,-0.0401306,-0.02804105
1,1,TP3,False,False,False,False,0.3,begin,さ,0.009374999,0.0125,0.01343284,0.0104944,0.009319031,0.009319031,0.004953359,0.001007463,0.01301306,0.005792911,0.004533582,0.004533582,0.0008395523,-0.00193097,-1,-1,2.269817,0.02191232,0.01553172
1,1,TP3,False,False,False,False,0.3,end,さ,0.009374999,0.0125,0.01855411,,,,,,0.01183769,,,,,,-1,-1,,0.02191232,0.01553172
