participant,method,session,isPractice,phrase,phraseNumber,phraseCount,keystroke,timestamp
test2,NormalFlick,3,FALSE,これもおねがい,5,0,こ,1420
test2,NormalFlick,3,FALSE,これもおねがい,5,0,れ,2199
test2,NormalFlick,3,FALSE,これもおねがい,5,0,も,3007
test2,NormalFlick,3,FALSE,これもおねがい,5,0,お,3661
test2,NormalFlick,3,FALSE,これもおねがい,5,0,ね,4287
test2,NormalFlick,3,FALSE,これもおねがい,5,0,か,4663
test2,NormalFlick,3,FALSE,これもおねがい,5,0,option,5313
test2,NormalFlick,3,FALSE,これもおねがい,5,0,い,6245
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,な,1044
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,へ,1851
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,option,2576
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,ふ,3411
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,option,4151
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,き,4942
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,option,5876
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,よ,7616
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,option,8048
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,う,8772
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,を,9774
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,す,10693
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,1,る,11612
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,せ,1378
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,option,3202
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,option,4470
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ん,5388
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,こ,6030
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,く,6599
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ま,7534
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,と,8201
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,backspace,8771
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,backspace,9160
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,と,10777
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,と,11348
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,option,12100
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,う,12935
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ふ,13882
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,け,14745
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ん,15915
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,め,1348
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,ー,2114
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,る,3549
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,を,4523
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,そ,5443
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,う,6290
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,し,7042
test2,NormalFlick,3,FALSE,めーるをそうしん,4,3,ん,8380
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,や,1240
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,つ,2074
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,option,2728
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,は,3494
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,option,4177
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,option,4637
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,り,5499
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,い,6363
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,い,6863
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,4,よ,7796
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,お,1461
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,も,2255
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,い,3620
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,き,4135
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,や,5110
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,backspace,6182
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,り,7462
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,も,8604
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,ひ,9217
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,つ,9872
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,よ,10805
test2,NormalFlick,3,FALSE,おもいきりもひつよう,0,5,う,11862
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,ふ,1503
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,option,2282
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,option,2656
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,ろ,3631
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,く,4496
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,option,5400
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,ら,6041
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,み,7671
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,ゆ,8520
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,backspace,9328
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,ん,10886
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,く,11820
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,6,option,12920
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,は,1504
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,つ,2464
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,option,3313
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,ひ,4166
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,option,4902
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,option,5346
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,よ,6070
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,option,6669
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,う,7658
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,か,8174
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,い,8981
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,に,9706
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,の,10262
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,そ,10902
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,option,11641
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,7,む,12351
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,つ,1462
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,く,2032
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,は,3160
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,option,4093
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,さ,5081
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,ゆ,6334
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,backspace,6933
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,ん,8187
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,に,8813
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,の,9385
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,ほ,9941
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,option,10735
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,8,る,11613
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,い,1560
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,ぬ,2310
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,と,3271
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,さ,4082
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,や,5094
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,backspace,5806
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,ゆ,6933
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,backspace,7531
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,ん,8995
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,ほ,9816
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,option,10428
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,9,option,10804
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,き,1406
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,よ,2339
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,option,4650
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,う,5932
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,も,7309
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,て,7950
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,つ,8661
test2,NormalFlick,3,FALSE,きょうもてつや,1,10,や,9439
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,わ,3116
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,す,4021
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,option,5037
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,か,5650
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,に,6403
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,と,6988
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,と,7502
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,option,8171
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,ま,8672
test2,NormalFlick,3,FALSE,わずかにとどまる,20,11,る,9494
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,あ,1211
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,し,1963
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,あ,2479
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,と,3217
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,を,4135
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,た,4666
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,と,5346
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,option,5863
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,る,6738
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,13,へ,2436
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,13,option,3160
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,13,option,3523
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,13,ー,4496
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,13,し,5109
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,13,option,5848
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,13,を,6531
