participant,method,session,isPractice,phrase,phraseNumber,phraseCount,keystroke,timestamp
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,き,1142
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,ろ,1615
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,く,1993
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,を,2619
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,に,2967
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,ち,3314
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,backspace,3759
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,backspace,4066
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,ち,4761
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,ち,5151
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,option,5555
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,め,6016
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,0,る,6476
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,へ,1114
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,option,1392
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,option,1686
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,、,2144
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,し,2563
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,backspace,3190
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,backspace,3872
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,！,4902
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,backspace,5374
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,ー,6294
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,し,6796
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,option,7256
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,を,7784
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,め,8243
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,く,8619
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,1,る,9079
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,こ,1072
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,お,2312
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,ゆ,2757
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,か,3050
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,option,3510
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,ぬ,3982
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,る,4790
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,く,5375
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,な,6182
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,2,る,6586
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,あ,904
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,し,1294
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,あ,1684
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,と,2214
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,を,2716
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,た,3258
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,と,4178
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,option,5125
test2,NormalFlick,3,FALSE,あしあとをたどる,23,3,る,5918
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,つ,973
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,つ,1349
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,option,1991
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,option,2673
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,き,3508
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,か,3940
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,option,4525
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,き,5124
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,に,5610
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,な,5876
test2,NormalFlick,3,FALSE,つづきがきになる,6,4,る,6362
test2,NormalFlick,3,FALSE,これもおねがい,5,5,こ,1015
test2,NormalFlick,3,FALSE,これもおねがい,5,5,れ,1475
test2,NormalFlick,3,FALSE,これもおねがい,5,5,も,2059
test2,NormalFlick,3,FALSE,これもおねがい,5,5,お,2507
test2,NormalFlick,3,FALSE,これもおねがい,5,5,ね,2953
test2,NormalFlick,3,FALSE,これもおねがい,5,5,か,3232
test2,NormalFlick,3,FALSE,これもおねがい,5,5,option,3703
test2,NormalFlick,3,FALSE,これもおねがい,5,5,い,4247
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,い,1113
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,ぬ,1518
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,と,2144
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,さ,2589
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,ん,3090
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,ほ,3508
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,option,3868
test2,NormalFlick,3,FALSE,いぬとさんぽ,26,6,option,4174
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,つ,976
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,ぬ,1436
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,backspace,2033
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,く,2535
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,は,2925
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,option,3468
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,さ,3886
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,ん,4415
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,に,4859
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,の,5291
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,ほ,5737
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,option,6057
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,7,る,6600
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,め,1017
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,ー,1477
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,る,1910
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,を,2631
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,そ,3133
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,う,3564
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,し,4052
test2,NormalFlick,3,FALSE,めーるをそうしん,4,8,ん,4610
