participant,method,session,isPractice,phrase,phraseNumber,phraseCount,keystroke,timestamp
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,し,1558
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,や,2255
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,option,2923
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,わ,3647
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,ー,4441
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,を,5416
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,あ,5917
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,ひ,6795
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,option,7281
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,1,た,7852
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,せ,1322
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,option,1962
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ん,2658
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,こ,3103
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,く,3548
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,と,4189
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,と,4621
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,option,4997
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,う,5525
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ぬ,6250
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,backspace,6835
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ふ,7419
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,け,7948
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,2,ん,8645
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,や,1058
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,う,1572
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,option,2240
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,backspace,2992
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,つ,3981
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,option,4593
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,は,5192
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,option,5721
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,option,6026
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,り,6737
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,き,7419
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,あ,7753
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,S,8379
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,backspace,9118
test2,NormalFlick,3,FALSE,やっぱりいいよ,13,3,backspace,9424
