participant,method,session,isPractice,phrase,phraseNumber,phraseCount,keystroke,timestamp
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,つ,1922
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,く,2701
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,は,3105
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,option,3691
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,さ,4482
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,ん,5125
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,に,5696
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,の,6167
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,ほ,6600
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,option,7074
test2,NormalFlick,3,FALSE,つくばさんにのぼる,2,0,る,7784
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,あ,988
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,り,1643
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,か,4000
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,option,4735
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,と,5515
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,う,6073
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,の,7870
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,か,8430
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,backspace,9360
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,backspace,10059
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,こ,10990
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,option,11617
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,さ,12272
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,option,13081
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,い,13748
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,ま,15113
test2,NormalFlick,3,FALSE,ありがとうございます,17,1,す,15823
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,き,1098
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,ろ,1754
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,く,2218
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,を,2966
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,ち,3465
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,ち,3870
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,option,4302
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,め,4802
test2,NormalFlick,3,FALSE,きろくをちぢめる,19,2,る,5318
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,な,1030
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,へ,1547
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,option,2047
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,ふ,2938
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,option,3497
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,き,4319
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,option,4804
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,よ,5334
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,option,5697
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,う,6309
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,を,7297
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,す,7784
test2,NormalFlick,3,FALSE,なべぶぎょうをする,15,3,る,8384
test2,NormalFlick,3,FALSE,これもおねがい,5,4,こ,1083
test2,NormalFlick,3,FALSE,これもおねがい,5,4,れ,1584
test2,NormalFlick,3,FALSE,これもおねがい,5,4,も,2127
test2,NormalFlick,3,FALSE,これもおねがい,5,4,お,2628
test2,NormalFlick,3,FALSE,これもおねがい,5,4,ね,3074
test2,NormalFlick,3,FALSE,これもおねがい,5,4,か,3424
test2,NormalFlick,3,FALSE,これもおねがい,5,4,option,3968
test2,NormalFlick,3,FALSE,これもおねがい,5,4,い,4564
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,ふ,1018
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,option,2047
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,option,2423
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,ろ,3383
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,く,3884
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,option,4483
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,ら,5056
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,み,5499
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,ん,6029
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,く,6544
test2,NormalFlick,3,FALSE,ぷろぐらみんぐ,8,5,option,7128
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,お,1127
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,ゆ,1671
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,か,2004
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,option,2603
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,ぬ,3215
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,る,4649
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,く,5249
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,な,5792
test2,NormalFlick,3,FALSE,おゆがぬるくなる,25,6,る,6377
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,つ,1045
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,く,1630
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,は,2117
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,option,2646
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,え,3287
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,く,3719
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,す,4221
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,ふ,4777
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,option,5613
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,option,5976
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,れ,6670
test2,NormalFlick,3,FALSE,つくばえくすぷれす,3,7,す,7228
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,へ,1239
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,option,1588
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,option,1936
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,ー,2562
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,し,3118
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,option,3703
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,を,4456
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,め,5027
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,く,5444
test2,NormalFlick,3,FALSE,ぺーじをめくる,10,8,る,6098
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,わ,1990
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,す,2731
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,option,3398
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,か,4192
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,た,4831
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,backspace,5667
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,に,6502
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,と,7005
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,と,7448
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,option,9522
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,ま,10150
test2,NormalFlick,3,FALSE,わずかにとどまる,20,9,る,10930
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,ひ,1279
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,や,1752
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,option,2253
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,く,2922
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,て,3617
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,ん,4384
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,た,4787
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,option,5317
test2,NormalFlick,3,FALSE,ひゃくえんだま,12,10,ま,5734
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,し,1155
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,や,1670
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,option,2339
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,わ,2869
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,ー,3398
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,を,3998
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,あ,4661
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,ひ,5278
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,option,5727
test2,NormalFlick,3,FALSE,しゃわーをあびた,24,11,た,6155
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,あ,975
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,き,1576
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,backspace,2631
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,し,3117
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,あ,3814
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,と,4427
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,を,5596
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,た,6640
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,と,7435
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,option,7894
test2,NormalFlick,3,FALSE,あしあとをたどる,23,12,る,8632
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,せ,1113
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,option,1615
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,ん,2282
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,こ,2840
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,く,3285
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,と,3787
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,と,4205
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,option,4597
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,う,5111
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,ふ,5737
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,け,6197
test2,NormalFlick,3,FALSE,ぜんこくとどうふけん,18,13,ん,6893
test2,NormalFlick,3,FALSE,ゆざめした,22,14,ゆ,1044
test2,NormalFlick,3,FALSE,ゆざめした,22,14,さ,2868
test2,NormalFlick,3,FALSE,ゆざめした,22,14,option,3884
test2,NormalFlick,3,FALSE,ゆざめした,22,14,め,4483
test2,NormalFlick,3,FALSE,ゆざめした,22,14,き,5361
test2,NormalFlick,3,FALSE,ゆざめした,22,14,backspace,6210
test2,NormalFlick,3,FALSE,ゆざめした,22,14,し,6724
test2,NormalFlick,3,FALSE,ゆざめした,22,14,た,7228
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,み,1141
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,す,1642
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,option,2213
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,を,2894
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,ほ,3925
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,し,4385
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,option,4941
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,ゆ,5512
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,option,5985
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,う,6501
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,る,7866
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,backspace,8464
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,す,9007
test2,NormalFlick,3,FALSE,みずをほじゅうする,14,15,る,9719
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,つ,1031
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,つ,1475
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,option,2018
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,option,2464
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,き,3146
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,か,3550
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,option,4093
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,き,4595
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,に,5080
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,な,5471
test2,NormalFlick,3,FALSE,つづきがきになる,6,16,る,5986
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,は,1030
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,option,1547
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,option,1851
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,そ,2588
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,こ,3164
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,ん,3687
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,は,4052
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,た,4565
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,か,5095
test2,NormalFlick,3,FALSE,ぱそこんはたかい,16,17,い,5679
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,ま,1072
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,つ,1698
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,option,2214
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,と,2729
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,う,3313
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,ん,3995
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,と,4469
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,option,4872
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,う,5333
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,か,5751
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,option,6197
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,と,6712
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,く,7073
test2,NormalFlick,3,FALSE,まっとうんどうがとくい,21,18,い,7630
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,め,1239
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,ー,1838
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,る,2255
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,を,2909
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,う,4023
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,backspace,4680
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,ほ,5568
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,backspace,6949
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,そ,7728
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,う,8353
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,し,9063
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,ゆ,9968
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,backspace,10763
test2,NormalFlick,3,FALSE,めーるをそうしん,4,19,ん,11960
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,き,1182
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,わ,1739
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,backspace,2966
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,よ,3508
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,option,5389
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,う,6280
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,も,6963
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,て,7503
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,つ,8032
test2,NormalFlick,3,FALSE,きょうもてつや,1,20,や,9372
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,は,961
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,つ,1683
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,option,2420
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,に,2923
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,option,3442
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,option,4092
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,backspace,4983
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,に,5845
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,backspace,6528
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,ひ,7336
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,option,7949
test2,NormalFlick,3,FALSE,はっぴょうかいにのぞむ,9,21,option,8342
