ID,Mode,KC,P,HP,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time,pre_rx,pre_ry
1,3,TP3,True,False,False,False,0.3,end,ぬ,-0.0175,0.003625,0.01939366,,,,,,-0.006632463,,,,,,-1,-1,,0,0
1,3,TP3,True,False,False,False,0.3,begin,か,-0.0175,0.024875,-0.01620336,-0.01956157,-0.01956157,-0.01956157,-0.01956157,-0.01981344,0.02199627,0.0256903,0.0256903,0.0256903,0.0256903,0.02518657,-1,-1,2.407237,0.01939366,-0.006632463
1,3,TP3,True,False,False,False,0.3,end,か,-0.0175,0.024875,-0.01771455,,,,,,0.02233209,,,,,,-1,-1,,0.01939366,-0.006632463
1,3,TP3,True,False,False,False,0.3,begin,き,-0.0175,0.024875,-0.01855411,-0.01351679,-0.01351679,-1,-1,-1,0.02266791,0.01981344,0.01981344,-1,-1,-1,-1,-1,1.97852,-0.01771455,0.02233209
1,3,TP3,True,False,False,False,0.3,end,き,-0.0175,0.024875,-0.04357276,,,,,,0.02359142,,,,,,-1,-1,,-0.01771455,0.02233209
1,3,TP3,True,False,False,False,0.3,begin,さ,0.0175,0.024875,0.01158582,0.01544776,0.01544776,0.01771455,-1,-1,0.02375933,0.02107276,0.02107276,0.01981344,-1,-1,-1,-1,2.118505,-0.04357276,0.02359142
1,3,TP3,True,False,False,False,0.3,end,さ,0.0175,0.024875,0.02275187,,,,,,0.02485075,,,,,,-1,-1,,-0.04357276,0.02359142
1,3,TP3,True,False,False,False,0.3,begin,こ,-0.0175,0.024875,-0.02056903,-0.02014926,-0.02014926,-1,-1,-1,0.02720149,0.02417911,0.02417911,-1,-1,-1,-1,-1,1.967011,0.02275187,0.02485075
1,3,TP3,True,False,False,False,0.3,end,こ,-0.0175,0.024875,-0.01603545,,,,,,0.004365672,,,,,,-1,-1,,0.02275187,0.02485075
1,3,TP3,True,False,False,False,0.3,begin,や,-0.0175,-0.017625,-0.009570897,-0.01074627,-0.01083022,-1,-1,-1,-0.02098881,-0.02014926,-0.01922575,-1,-1,-1,-1,-1,1.976154,-0.01603545,0.004365672
1,3,TP3,True,False,False,False,0.3,end,や,-0.0175,-0.017625,-1,,,,,,-1,,,,,,-1,-1,,-0.01603545,0.004365672
1,3,TP3,True,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.05163247,-0.05028918,-0.05028918,-0.050625,-0.050625,-1,-0.03584888,-0.02770523,-0.02770523,-0.02636194,-0.02636194,-1,-1,-1,2.700927,-1,-1
1,3,TP3,True,False,False,False,0.3,end,変,-0.0525,-0.038875,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,あ,-0.0525,0.024875,-0.04625933,-0.04197761,-0.04197761,-0.01292911,-0.01292911,-0.01292911,0.03249067,0.02669776,0.02669776,-0.005037314,-0.005037314,-0.005037314,-1,-1,2.662016,-1,-1
1,3,TP3,True,False,False,False,0.3,end,あ,-0.0525,0.024875,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,ま,-0.0525,-0.017625,-0.0538153,-0.05347948,-0.05347948,-0.05616605,-0.05616605,-1,-0.01670709,-0.01729478,-0.01729478,-0.02048508,-0.02048508,-1,-1,-1,2.573833,-1,-1
1,3,TP3,True,False,False,False,0.3,end,ま,-0.0525,-0.017625,-0.05205224,,,,,,-0.01208955,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,み,-0.0525,-0.017625,-0.05054105,-0.04793844,-0.04793844,-0.04793844,-0.05012127,-0.05012127,-0.01015858,-0.01234142,-0.01234142,-0.01234142,-0.01259328,-0.01259328,-1,-1,1.964993,-0.05205224,-0.01208955
1,3,TP3,True,False,False,False,0.3,end,み,-0.0525,-0.017625,-0.0722015,,,,,,-0.01796642,,,,,,-1,-1,,-0.05205224,-0.01208955
1,3,TP3,True,False,False,False,0.3,begin,ゆ,-0.0175,-0.017625,-0.01292911,-0.01208955,-0.01208955,-1,-1,-1,-0.01595149,-0.01469216,-0.01469216,-1,-1,-1,-1,-1,2.171875,-0.0722015,-0.01796642
1,3,TP3,True,False,False,False,0.3,end,ゆ,-0.0175,-0.017625,-0.0408862,,,,,,-0.0144403,,,,,,-1,-1,,-0.0722015,-0.01796642
1,3,TP3,True,False,False,False,0.3,begin,な,-0.0175,0.003625,-0.01880597,-0.009570897,-0.009570897,-0.008059702,-0.008059702,-0.006716419,0.007891792,-0.0001679105,-0.0001679105,-0.004449627,-0.004449627,-0.008227613,-1,-1,2.171421,-0.0408862,-0.0144403
1,3,TP3,True,False,False,False,0.3,end,な,-0.0175,0.003625,-0.01662314,,,,,,0.006884329,,,,,,-1,-1,,-0.0408862,-0.0144403
1,3,TP3,True,False,False,False,0.3,begin,か,-0.0175,0.024875,-0.01771455,-0.01141791,-0.01015858,-0.01015858,-1,-1,0.03349814,0.02938433,0.02938433,0.02938433,-1,-1,-1,-1,3.105682,-0.01662314,0.006884329
1,3,TP3,True,False,False,False,0.3,end,か,-0.0175,0.024875,-1,,,,,,-1,,,,,,-1,-1,,-0.01662314,0.006884329
1,3,TP3,True,False,False,False,0.3,begin,つ,-0.0525,0.003625,-0.04944963,-0.04382463,-0.04382463,-0.04071829,-1,-1,-0.0006716418,-0.002854478,-0.002854478,-0.00369403,-1,-1,-1,-1,2.644615,-1,-1
1,3,TP3,True,False,False,False,0.3,end,つ,-0.0525,0.003625,-0.04172575,,,,,,0.02988806,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,ね,-0.0175,0.003625,-0.01544776,-0.01250933,-0.01250933,-0.01250933,-0.00915112,-1,0.006212687,0.00352612,0.00352612,0.00352612,0.002182836,-1,-1,-1,2.130455,-0.04172575,0.02988806
1,3,TP3,True,False,False,False,0.3,end,ね,-0.0175,0.003625,0.01486008,,,,,,0.008227613,,,,,,-1,-1,,-0.04172575,0.02988806
1,3,TP3,True,False,False,False,0.3,begin,は,0.0175,0.003625,0.01805037,0.01259328,0.01259328,0.008311568,0.004701493,0.004701493,0.006380598,0.002434702,0.002434702,0.0004197762,-0.002266791,-0.002266791,-1,-1,2.076824,0.01486008,0.008227613
1,3,TP3,True,False,False,False,0.3,end,は,0.0175,0.003625,0.016875,,,,,,0.004701493,,,,,,-1,-1,,0.01486008,0.008227613
1,3,TP3,True,False,False,False,0.3,begin,E,0.0525,-0.028875,0.05003732,0.045,0.0418097,0.04063433,0.0345056,0.0345056,-0.0193097,-0.01628732,-0.0144403,-0.01393657,-0.01041045,-0.01041045,-1,-1,2.01923,0.016875,0.004701493
1,3,TP3,True,False,False,False,0.3,end,E,0.0525,-0.028875,-1,,,,,,-1,,,,,,-1,-1,,0.016875,0.004701493
1,3,TP3,True,False,False,False,0.3,begin,お,-0.0525,0.024875,-0.04323694,-0.03425374,-0.03375,-0.03081157,-1,-1,0.03030784,0.02098881,0.02073694,0.01729478,-1,-1,-1,-1,2.689495,-1,-1
1,3,TP3,True,False,False,False,0.3,end,お,-0.0525,0.024875,-0.04483209,,,,,,0.002182836,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,ひ,0.0175,0.003625,0.02636194,0.02703358,0.02703358,0.02694963,0.02694963,0.0256903,0.006128732,0.005205224,0.005205224,0.005037314,0.005037314,0.004701493,-1,-1,5.368809,-0.04483209,0.002182836
1,3,TP3,True,False,False,False,0.3,end,ひ,0.0175,0.003625,-0.01091418,,,,,,0.005121269,,,,,,-1,-1,,-0.04483209,0.002182836
1,3,TP3,True,False,False,False,0.3,begin,よ,-0.0175,-0.017625,-0.02140858,-0.0193097,-0.0193097,-0.0183862,-0.0183862,-1,-0.02501866,-0.02686567,-0.02686567,-0.02652985,-0.02930037,-1,-1,-1,2.326969,-0.01091418,0.005121269
1,3,TP3,True,False,False,False,0.3,end,よ,-0.0175,-0.017625,-0.02627799,,,,,,0.008479478,,,,,,-1,-1,,-0.01091418,0.005121269
1,3,TP3,True,False,False,False,0.3,begin,ね,-0.0175,0.003625,-0.02711754,-0.02451493,-0.02451493,-0.02132463,-0.02132463,-0.02543844,0.00915112,0.0009235076,0.0009235076,-0.001007463,-0.001007463,-0.01024254,-1,-1,2.046913,-0.02627799,0.008479478
1,3,TP3,True,False,False,False,0.3,end,ね,-0.0175,0.003625,0.00528918,,,,,,0.01007463,,,,,,-1,-1,,-0.02627799,0.008479478
1,3,TP3,True,False,False,False,0.3,begin,え,-0.0525,0.024875,-0.05843284,-0.04248135,-0.04248135,-0.03081157,-0.03081157,-0.02023321,0.02359142,0.01469216,0.01469216,0.01166978,0.01166978,0.004281717,-1,-1,2.048531,0.00528918,0.01007463
1,3,TP3,True,False,False,False,0.3,end,え,-0.0525,0.024875,-0.01964552,,,,,,0.02485075,,,,,,-1,-1,,0.00528918,0.01007463
1,3,TP3,True,False,False,False,0.3,begin,？,0.0175,-0.038875,0.01947761,0.0217444,0.0217444,0.02191232,0.02191232,-1,-0.03333023,-0.02736941,-0.02736941,-0.02552239,-0.02552239,-1,-1,-1,2.131054,-0.01964552,0.02485075
1,3,TP3,True,False,False,False,0.3,end,？,0.0175,-0.038875,0.0489459,,,,,,-0.02694963,,,,,,-1,-1,,-0.01964552,0.02485075
1,3,TP3,True,False,False,False,0.3,begin,お,-0.0525,0.024875,-0.05112873,-0.04869403,-0.04869403,-0.04609142,-1,-1,0.02619403,0.02501866,0.02501866,0.02485075,-1,-1,-1,-1,2.353626,0.0489459,-0.02694963
1,3,TP3,True,False,False,False,0.3,end,お,-0.0525,0.024875,-0.05003732,,,,,,0.002182836,,,,,,-1,-1,,0.0489459,-0.02694963
1,3,TP3,True,False,False,False,0.3,begin,ら,0.0175,-0.017625,0.01888993,0.01821828,0.01771455,0.01645523,0.01586754,0.01586754,-0.02107276,-0.01578358,-0.0151959,-0.01469216,-0.01452425,-0.01452425,-1,-1,2.270943,-0.05003732,0.002182836
1,3,TP3,True,False,False,False,0.3,end,ら,0.0175,-0.017625,0.0176306,,,,,,-0.01292911,,,,,,-1,-1,,-0.05003732,0.002182836
1,3,TP3,True,False,False,False,0.3,begin,め,-0.0525,-0.017625,-0.05952426,-0.05314366,-0.05314366,-0.05314366,-0.04760262,-1,-0.01334888,-0.01544776,-0.01544776,-0.01544776,-0.01544776,-1,-1,-1,2.172359,0.0176306,-0.01292911
1,3,TP3,True,False,False,False,0.3,end,め,-0.0525,-0.017625,-1,,,,,,-1,,,,,,-1,-1,,0.0176306,-0.01292911
1,3,TP3,True,False,False,False,0.3,begin,い,-0.0525,0.024875,-0.04844217,-0.05205224,-0.05205224,-0.05222015,-0.05423508,-1,0.0151959,0.01469216,0.01469216,0.01477612,0.01477612,-1,-1,-1,2.604813,-1,-1
1,3,TP3,True,False,False,False,0.3,end,い,-0.0525,0.024875,-0.07127799,,,,,,0.01880597,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.05389926,-0.05389926,-0.05389926,-0.05415113,-0.05423508,-0.05423508,-0.03803172,-0.03240672,-0.03198694,-0.03089553,-0.03039179,-0.03039179,-1,-1,2.994308,-0.07127799,0.01880597
1,3,TP3,True,False,False,False,0.3,end,変,-0.0525,-0.038875,-1,,,,,,-1,,,,,,-1,-1,,-0.07127799,0.01880597
1,3,TP3,True,False,False,False,0.3,begin,こ,-0.0175,0.024875,-0.02753732,-0.01536381,-0.01536381,-0.02014926,-0.02014926,-0.02980411,0.02753732,0.01250933,0.01250933,0.002350746,0.002350746,-0.01259328,-1,-1,2.562439,-1,-1
1,3,TP3,True,False,False,False,0.3,end,こ,-0.0175,0.024875,-0.02443097,,,,,,0.008311568,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,S,0.0525,0.003625,0.05574627,0.0577612,0.0577612,0.05205224,0.05205224,0.05205224,-0.002854478,-0.001259328,-0.001259328,0.0005037314,0.0005037314,0.0005037314,-1,-1,2.408836,-0.02443097,0.008311568
1,3,TP3,True,False,False,False,0.3,end,S,0.0525,0.003625,-1,,,,,,-1,,,,,,-1,-1,,-0.02443097,0.008311568
1,3,TP3,True,False,False,False,0.3,begin,れ,0.0175,-0.017625,0.01813433,0.02023321,0.02023321,0.01981344,0.01964552,0.01964552,-0.009990673,-0.01041045,-0.01041045,-0.009402986,-0.008395523,-0.006632463,-1,-1,2.52037,-1,-1
1,3,TP3,True,False,False,False,0.3,end,れ,0.0175,-0.017625,0.04474814,,,,,,-0.00722015,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.05482277,-0.04793844,-0.04793844,-0.04365672,-0.04365672,-0.01905784,-0.03215485,-0.0345056,-0.0345056,-0.03433769,-0.03433769,-0.02266791,-1,-1,2.422989,0.04474814,-0.00722015
1,3,TP3,True,False,False,False,0.3,end,変,-0.0525,-0.038875,-0.05180038,,,,,,-0.03198694,,,,,,-1,-1,,0.04474814,-0.00722015
1,3,TP3,True,False,False,False,0.3,begin,ね,-0.0175,0.003625,-0.02619403,-0.02518657,-0.02518657,-0.02510261,-0.02510261,-1,0.003022388,-8.395523E-05,-8.395523E-05,-0.0004197762,-0.0004197762,-1,-1,-1,1.907585,-0.05180038,-0.03198694
1,3,TP3,True,False,False,False,0.3,end,ね,-0.0175,0.003625,0.0003358209,,,,,,0.005792911,,,,,,-1,-1,,-0.05180038,-0.03198694
1,3,TP3,True,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.04348881,-0.02770523,-0.02770523,-0.01813433,-0.01813433,-0.01083022,-0.03509329,-0.02266791,-0.02266791,-0.01259328,-0.01259328,-0.005708956,-1,-1,2.22776,0.0003358209,0.005792911
1,3,TP3,True,False,False,False,0.3,end,変,-0.0525,-0.038875,-1,,,,,,-1,,,,,,-1,-1,,0.0003358209,0.005792911
1,3,TP3,True,False,False,False,0.3,begin,そ,0.0175,0.024875,0.01939366,0.02543844,0.02543844,0.02375933,0.02031717,0.01788246,0.02804105,0.02753732,0.02753732,0.02577426,0.02459888,0.02384328,-1,-1,2.603134,-1,-1
1,3,TP3,True,False,False,False,0.3,end,そ,0.0175,0.024875,0.0144403,,,,,,0.004533582,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,と,-0.0525,0.003625,-0.05154851,-0.02359142,-0.002602612,-0.002602612,0.01166978,0.01166978,0.008143658,0.005541045,0.005037314,0.005037314,0.003861941,0.003861941,-1,-1,2.06414,0.0144403,0.004533582
1,3,TP3,True,False,False,False,0.3,end,と,-0.0525,0.003625,-0.04802239,,,,,,-0.009486941,,,,,,-1,-1,,0.0144403,0.004533582
1,3,TP3,True,False,False,False,0.3,begin,あ,-0.0525,0.024875,-0.03777985,-0.02476679,-0.02476679,-0.01880597,-0.01586754,-0.01343284,0.03139926,0.0217444,0.0217444,0.01805037,0.01301306,0.006380598,-1,-1,2.057594,-0.04802239,-0.009486941
1,3,TP3,True,False,False,False,0.3,end,あ,-0.0525,0.024875,-0.03047575,,,,,,0.02611008,,,,,,-1,-1,,-0.04802239,-0.009486941
1,3,TP3,True,False,False,False,0.3,begin,ふ,0.0175,0.003625,0.02426306,0.02946829,0.02946829,0.03005597,0.03542911,0.04063433,-0.001175373,0.004533582,0.004533582,0.006212687,0.01301306,0.01947761,-1,-1,1.976837,-0.03047575,0.02611008
1,3,TP3,True,False,False,False,0.3,end,ふ,0.0175,0.003625,0.03635262,,,,,,0.02896455,,,,,,-1,-1,,-0.03047575,0.02611008
1,3,TP3,True,False,False,False,0.3,begin,た,-0.0525,0.003625,-0.04944963,-0.04340485,-0.04340485,-0.04130597,-0.04130597,-1,0.007555971,0.005121269,0.005121269,0.005037314,0.005037314,-1,-1,-1,2.076073,0.03635262,0.02896455
1,3,TP3,True,False,False,False,0.3,end,た,-0.0525,0.003625,-1,,,,,,-1,,,,,,-1,-1,,0.03635262,0.02896455
1,3,TP3,True,False,False,False,0.3,begin,ら,0.0175,-0.017625,0.02552239,0.0249347,0.0249347,0.02149254,0.02149254,0.02191232,-0.01695896,-0.01746269,-0.01746269,-0.006716419,-0.006716419,-0.004449627,-1,-1,2.56031,-1,-1
1,3,TP3,True,False,False,False,0.3,end,ら,0.0175,-0.017625,0.03492538,,,,,,-0.006212687,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,変,-0.0525,-0.038875,-0.06195896,-0.05297575,-0.05297575,-0.05238806,-0.05238806,-1,-0.03324627,-0.02862873,-0.02862873,-0.02678172,-0.02678172,-1,-1,-1,1.965385,0.03492538,-0.006212687
1,3,TP3,True,False,False,False,0.3,end,変,-0.0525,-0.038875,-0.0577612,,,,,,-0.0305597,,,,,,-1,-1,,0.03492538,-0.006212687
1,3,TP3,True,False,False,False,0.3,begin,ち,-0.0525,0.003625,-0.04861008,-0.0433209,-0.0433209,-1,-1,-1,0.008311568,0.005541045,0.005541045,-1,-1,-1,-1,-1,1.950424,-0.0577612,-0.0305597
1,3,TP3,True,False,False,False,0.3,end,ち,-0.0525,0.003625,-0.06674441,,,,,,0.009067165,,,,,,-1,-1,,-0.0577612,-0.0305597
1,3,TP3,True,False,False,False,0.3,begin,E,0.0525,-0.028875,0.05104478,0.05415113,0.05415113,0.01721082,0.01721082,0.01721082,-0.02409515,-0.02266791,-0.02266791,0.002602612,0.002602612,0.002602612,-1,-1,2.239594,-0.06674441,0.009067165
1,3,TP3,True,False,False,False,0.3,end,E,0.0525,-0.028875,-1,,,,,,-1,,,,,,-1,-1,,-0.06674441,0.009067165
1,3,TP3,True,False,False,False,0.3,begin,へ,0.0175,0.003625,0.006044777,0.006128732,0.006296642,0.008059702,0.008059702,-1,0.007136195,0.001175373,0.001091418,-0.0003358209,-0.0003358209,-1,-1,-1,2.520477,-1,-1
1,3,TP3,True,False,False,False,0.3,end,へ,0.0175,0.003625,0.0401306,,,,,,0.01427239,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,い,-0.0525,0.024875,-0.05616605,-0.04751866,-0.04751866,-0.04609142,-1,-1,0.03551306,0.03223881,0.03223881,0.03081157,-1,-1,-1,-1,4.142273,0.0401306,0.01427239
1,3,TP3,True,False,False,False,0.3,end,い,-0.0525,0.024875,-0.07094217,,,,,,-0.02048508,,,,,,-1,-1,,0.0401306,0.01427239
1,3,TP3,True,False,False,False,0.3,begin,わ,-0.0175,-0.038875,-0.01939366,-0.01830224,-0.02023321,-1,-1,-1,-0.04466418,-0.03979478,-0.03576493,-1,-1,-1,-1,-1,2.198639,-0.07094217,-0.02048508
1,3,TP3,True,False,False,False,0.3,end,わ,-0.0175,-0.038875,-0.01418843,,,,,,-0.03559702,,,,,,-1,-1,,-0.07094217,-0.02048508
1,3,TP3,True,False,False,False,0.3,begin,、,0.0175,-0.038875,0.01477612,0.01292911,0.01292911,0.01292911,-1,-1,-0.02694963,-0.02468284,-0.02468284,-0.02468284,-1,-1,-1,-1,1.865692,-0.01418843,-0.03559702
1,3,TP3,True,False,False,False,0.3,end,、,0.0175,-0.038875,-1,,,,,,-1,,,,,,-1,-1,,-0.01418843,-0.03559702
1,3,TP3,True,False,False,False,0.3,begin,な,-0.0175,0.003625,-0.02014926,-0.009654852,-0.009654852,-0.006800374,-0.006800374,-0.002014925,0.007052239,-0.001007463,-0.001007463,-0.003610075,-0.003610075,-0.007891792,-1,-1,2.551552,-1,-1
1,3,TP3,True,False,False,False,0.3,end,な,-0.0175,0.003625,-0.01964552,,,,,,0.008899255,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,B,0.0525,0.024875,0.05465486,0.05524254,0.05524254,0.0538153,0.0538153,-1,0.02375933,0.02510261,0.02510261,0.02862873,0.02862873,-1,-1,-1,1.993362,-0.01964552,0.008899255
1,3,TP3,True,False,False,False,0.3,end,B,0.0525,0.024875,0.0609515,,,,,,0.02485075,,,,,,-1,-1,,-0.01964552,0.008899255
1,3,TP3,True,False,False,False,0.3,begin,の,-0.0175,0.003625,-0.02485075,-0.0183862,-0.0183862,-0.0183862,-0.01779851,-0.01729478,0.001427239,0.001091418,0.001091418,0.001091418,-8.395523E-05,-0.004113806,-1,-1,1.991844,0.0609515,0.02485075
1,3,TP3,True,False,False,False,0.3,end,の,-0.0175,0.003625,-0.02291978,,,,,,-0.01527985,,,,,,-1,-1,,0.0609515,0.02485075
1,3,TP3,True,False,False,False,0.3,begin,B,0.0525,0.024875,0.06548508,0.06573694,0.06724814,0.06724814,-0.005205224,-0.005205224,0.03282649,0.03475747,0.03492538,0.03492538,-0.0144403,-0.0144403,-1,-1,2.07354,-0.02291978,-0.01527985
1,3,TP3,True,False,False,False,0.3,end,B,0.0525,0.024875,-1,,,,,,-1,,,,,,-1,-1,,-0.02291978,-0.01527985
1,3,TP3,True,False,False,False,0.3,begin,り,0.0175,-0.017625,0.02048508,0.0249347,0.0249347,0.02501866,-1,-1,-0.009570897,-0.007136195,-0.007136195,-0.005792911,-1,-1,-1,-1,2.575867,-1,-1
1,3,TP3,True,False,False,False,0.3,end,り,0.0175,-0.017625,-0.006884329,,,,,,-0.01435634,,,,,,-1,-1,,-1,-1
1,3,TP3,True,False,False,False,0.3,begin,く,-0.0175,0.024875,-0.0144403,-0.00722015,-0.00722015,-0.003945896,-0.003945896,-0.001595149,0.02535448,0.009067165,0.009067165,-0.003945896,-0.003945896,-0.01536381,-1,-1,2.14563,-0.006884329,-0.01435634
1,3,TP3,True,False,False,False,0.3,end,く,-0.0175,0.024875,-0.01133396,,,,,,0.03458956,,,,,,-1,-1,,-0.006884329,-0.01435634
1,3,TP3,True,False,False,False,0.3,begin,む,-0.0525,-0.017625,-0.05230411,-0.045,-0.045,-0.045,-0.04138993,-0.03400187,-0.016875,-0.01964552,-0.01964552,-0.01964552,-0.01796642,-0.01402052,-1,-1,2.228485,-0.01133396,0.03458956
1,3,TP3,True,False,False,False,0.3,end,む,-0.0525,-0.017625,-0.04147388,,,,,,0.006716419,,,,,,-1,-1,,-0.01133396,0.03458956
1,3,TP3,True,False,False,False,0.3,begin,B,0.0525,0.024875,0.05222015,0.05415113,0.05415113,0.05045709,0.05045709,-0.01830224,0.03232276,0.03022388,0.03022388,0.02988806,0.02988806,-0.01284515,-1,-1,2.18576,-0.04147388,0.006716419
1,3,TP3,True,False,False,False,0.3,end,B,0.0525,0.024875,0.06724814,,,,,,0.02988806,,,,,,-1,-1,,-0.04147388,0.006716419
1,3,TP3,True,False,False,False,0.3,begin,に,-0.0175,0.003625,-0.01679105,-0.01108209,-0.01108209,-0.01334888,-0.01334888,-1,0.004449627,-0.0007555971,-0.0007555971,-0.004113806,-0.004113806,-1,-1,-1,1.826447,0.06724814,0.02988806
1,3,TP3,True,False,False,False,0.3,end,に,-0.0175,0.003625,-0.04609142,,,,,,-0.0003358209,,,,,,-1,-1,,0.06724814,0.02988806
1,3,TP3,True,False,False,False,0.3,begin,れ,0.0175,-0.017625,0.01385261,0.01057836,0.01057836,0.007891792,0.007891792,0.004617538,-0.01771455,-0.01922575,-0.01922575,-0.02040112,-0.02040112,-0.01998135,-1,-1,2.170135,-0.04609142,-0.0003358209
1,3,TP3,True,False,False,False,0.3,end,れ,0.0175,-0.017625,0.05389926,,,,,,-0.01620336,,,,,,-1,-1,,-0.04609142,-0.0003358209
1,3,TP3,True,False,False,False,0.3,begin,て,-0.0525,0.003625,-0.04743471,-0.02938433,-0.02938433,-0.02107276,-0.02107276,-0.00528918,0.001511194,-0.003777985,-0.003777985,-0.00528918,-0.00528918,-0.009738807,-1,-1,2.089005,0.05389926,-0.01620336
1,3,TP3,True,False,False,False,0.3,end,て,-0.0525,0.003625,-0.01922575,,,,,,0.003610075,,,,,,-1,-1,,0.05389926,-0.01620336
1,3,TP3,True,False,False,False,0.3,begin,ー,-0.0175,-0.038875,-0.02023321,-0.02409515,-0.02409515,-0.02300373,-0.01771455,-0.01796642,-0.03752799,-0.03173508,-0.03173508,-0.03089553,-0.02955224,-0.02375933,-1,-1,2.562546,-0.01922575,0.003610075
1,3,TP3,True,False,False,False,0.3,end,ー,-0.0175,-0.038875,0.01326493,,,,,,-0.0345056,,,,,,-1,-1,,-0.01922575,0.003610075
1,3,TP3,True,False,False,False,0.3,begin,、,0.0175,-0.038875,0.007052239,0.01175373,0.01175373,0.016875,0.016875,-1,-0.03727612,-0.03433769,-0.03433769,-0.03307836,-0.03307836,-1,-1,-1,2.226974,0.01326493,-0.0345056
1,3,TP3,True,False,False,False,0.3,end,、,0.0175,-0.038875,0.009319031,,,,,,-0.03106344,,,,,,-1,-1,,0.01326493,-0.0345056
1,3,TP3,True,False,False,False,0.3,begin,ら,0.0175,-0.017625,0.0151959,0.01477612,0.01477612,0.01561567,0.01561567,-1,-0.01637127,-0.01494403,-0.01494403,-0.01418843,-0.01418843,-1,-1,-1,1.907883,0.009319031,-0.03106344
1,3,TP3,True,False,False,False,0.3,end,ら,0.0175,-0.017625,-1,,,,,,-1,,,,,,-1,-1,,0.009319031,-0.03106344
1,3,TP3,True,False,False,False,0.3,begin,E,0.0525,-0.028875,0.04835821,0.0418097,0.0418097,0.0418097,0.03610075,0.03173508,-0.02199627,-0.01334888,-0.01334888,-0.01334888,-0.01116605,-0.01125,-1,-1,2.672836,-1,-1
1,3,TP3,True,False,False,False,0.3,end,E,0.0525,-0.028875,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
