ID,HorO,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5
yamaguchi,H,0.04502358,0.02792749,0.06103545,0.06061568,0.06061568,0.06027986,0.06027986,0.06053172,0.01301306,0.0136847,0.0136847,0.01393657,0.01393657,0.01402052
yamaguchi,H,-0.07638545,-0.027343,-0.05129665,-0.05112873,-0.05112873,-0.05121269,-0.05121269,-0.05121269,-0.01452425,-0.01637127,-0.01637127,-0.01662314,-0.01662314,-0.016875
yamaguchi,H,0.04681353,-0.01145032,0.05364739,0.05415113,0.05431904,0.05431904,0.05482277,0.05482277,-0.008563434,-0.0104944,-0.01057836,-0.01057836,-0.01074627,-0.01074627
yamaguchi,H,-0.0117717,-0.04407099,-0.003861941,-0.005792911,-0.005792911,-0.005876866,-0.005876866,-0.004449627,-0.03500933,-0.03559702,-0.03559702,-0.03559702,-0.03559702,-0.03509329
yamaguchi,H,-0.06884846,-0.01098245,-0.04986941,-0.04978545,-0.04919777,-0.04919777,-0.04877799,-0.04701493,-0.008227613,-0.009067165,-0.008815299,-0.008815299,-0.008647389,-0.008143658
yamaguchi,H,0.07766759,0.001497343,0.07916978,0.0746362,0.0746362,0.0746362,0.0746362,0.0746362,0.004113806,0.001679105,0.001679105,0.001679105,0.001679105,0.001679105
yamaguchi,H,0.02987143,-0.04289087,0.04315299,0.04323694,0.04323694,0.04315299,0.04298508,0.04290112,-0.02997202,-0.03165112,-0.03165112,-0.03156717,-0.03165112,-0.03165112
yamaguchi,H,-0.01757643,0.0001181886,-0.01318097,-0.01326493,-0.01326493,-0.01427239,-0.01427239,-0.01427239,0.006884329,0.006296642,0.006296642,0.006380598,0.006380598,0.006380598
yamaguchi,H,0.04695171,0.02572979,0.03920709,0.03492538,0.03492538,0.03408583,0.03408583,0.02980411,0.02762127,0.02602612,0.02602612,0.02585821,0.02585821,0.02510261
yamaguchi,H,0,0,0.007975747,0.005792911,0.005792911,0.005541045,0.005541045,0.005541045,0.005708956,0.004533582,0.004533582,0.004533582,0.004533582,0.004533582
yamaguchi,H,-0.06153245,-0.03417109,-0.04609142,-0.04508396,-0.04508396,-0.04508396,-0.04508396,-0.0442444,-0.01679105,-0.01637127,-0.01637127,-0.01637127,-0.01637127,-0.01620336
yamaguchi,H,0.01420534,-0.01577598,0.02611008,0.02468284,0.02468284,0.02459888,0.02459888,0.02451493,-0.007136195,-0.006212687,-0.006212687,-0.005708956,-0.005205224,-0.004869403
yamaguchi,H,0.0488795,-0.02807594,0.05792911,0.05893657,0.05893657,0.05826493,0.05826493,0.05641792,-0.01863806,-0.01662314,-0.01662314,-0.01544776,-0.01544776,-0.01418843
yamaguchi,H,0.07112637,0.01682521,0.0641418,0.06632463,0.06632463,0.06791978,0.06791978,0.06808769,0.0217444,0.0200653,0.0200653,0.0200653,0.0200653,0.02023321
yamaguchi,H,0.05876917,0.02226031,0.04869403,0.04777053,0.04835821,0.05104478,0.05104478,0.05482277,0.03072761,0.02913246,0.0288806,0.02778918,0.02778918,0.02594217
yamaguchi,H,-0.0143298,0.005065195,-0.01133396,-0.01057836,-0.01057836,-0.01032649,-0.01032649,-0.008563434,0.0136847,0.01393657,0.01393657,0.01393657,0.01393657,0.01376866
yamaguchi,H,-0.07527316,-0.01033154,-0.06388993,-0.0594403,-0.0594403,-0.05373135,-0.05373135,-0.04751866,-0.001091418,-0.0007555971,-0.0007555971,0,0,0.0005876866
