ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,False,False,False,0.15,end,？,0.008255597,0,
,TP3,False,False,False,0.15,begin,E,0.04673508,-0.01693097,3.216822
,TP3,False,False,False,0.15,end,E,0.04603545,-0.02140858,
,TP3,False,False,False,0.15,begin,か,0.004617537,0.009794776,1.393173
,TP3,False,False,False,0.15,end,か,0.0008395523,0.007625933,
,TP3,False,False,False,0.15,begin,の,0.002518657,0.001888993,1.072254
,TP3,False,False,False,0.15,end,の,-0.002378732,-0.01189366,
,TP3,False,False,False,0.15,begin,ち,-0.01686101,-0.0001399254,1.170067
,TP3,False,False,False,0.15,end,ち,-0.04071828,0.002378732,
,TP3,False,False,False,0.15,begin,B,0.02959422,0.01560168,1.921398
,TP3,False,False,False,0.15,end,B,0.0270056,0.01287313,
,TP3,False,False,False,0.15,begin,を,-0.005107276,-0.02595616,1.685684
,TP3,False,False,False,0.15,end,を,-0.007206157,-0.008115672,
,TP3,False,False,False,0.15,begin,こ,-0.005736941,0.01944963,2.590313
,TP3,False,False,False,0.15,end,こ,-0.006716418,-0.00181903,
,TP3,False,False,False,0.15,begin,ぬ,-0.003987873,-0.002098881,1.184113
,TP3,False,False,False,0.15,end,ぬ,-0.00104944,0.02021922,
,TP3,False,False,False,0.15,begin,ろ,0.01979944,-0.0123834,2.005718
,TP3,False,False,False,0.15,end,ろ,0.02196828,-0.02861474,
,TP3,False,False,False,0.15,begin,わ,-0.005806903,-0.02567631,1.559822
,TP3,False,False,False,0.15,end,わ,-0.008185634,-0.0245569,
,TP3,False,False,False,0.15,begin,え,-0.03456157,0.01833022,1.239998
,TP3,False,False,False,0.15,end,え,-0.003358209,0.01847015,
,TP3,False,False,False,0.15,begin,け,0.0003498135,0.01735075,1.337105
,TP3,False,False,False,0.15,end,け,0.02560634,0.01378265,
,TP3,False,False,False,0.15,begin,つ,-0.02140858,-0.0004897388,1.462528
,TP3,False,False,False,0.15,end,つ,-0.01553172,0.0170709,
,TP3,False,False,False,0.15,begin,あ,-0.02196828,0.01951959,1.33709
,TP3,False,False,False,0.15,end,あ,-0.01979944,0.01539179,
,TP3,False,False,False,0.15,begin,と,-0.01798041,0.006716418,1.141815
,TP3,False,False,False,0.15,end,と,-0.01770056,-0.007416045,
,TP3,False,False,False,0.15,begin,お,-0.01861008,0.02791511,1.294685
,TP3,False,False,False,0.15,end,お,-0.0170709,0.01266325,
,TP3,False,False,False,0.15,begin,ね,0.0002798508,0.0006996269,1.336929
,TP3,False,False,False,0.15,end,ね,0.02875466,0.003777985,
,TP3,False,False,False,0.15,begin,さ,0.02609608,0.02322761,1.810123
,TP3,False,False,False,0.15,end,さ,0.02273787,0.02210821,
,TP3,False,False,False,0.15,begin,わ,-0.0006996269,-0.02637593,1.183113
,TP3,False,False,False,0.15,end,わ,-0.002308769,-0.02469683,
,TP3,False,False,False,0.15,begin,き,0.001259328,0.0228778,1.100033
,TP3,False,False,False,0.15,end,き,-0.01812034,0.0151819,
,TP3,False,False,False,0.15,begin,S,0.04071828,-0.003498134,1.531891
,TP3,False,False,False,0.15,end,S,0.0405084,-0.004407649,
,TP3,False,False,False,0.15,begin,く,-0.0006296642,0.0129431,1.044178
,TP3,False,False,False,0.15,end,く,-0.002938433,0.02938433,
,TP3,False,False,False,0.15,begin,つ,-0.01881996,0.0003498135,1.490429
,TP3,False,False,False,0.15,end,つ,-0.01602146,0.01812034,
,TP3,False,False,False,0.15,begin,？,0.01553172,-0.0369403,1.712425
,TP3,False,False,False,0.15,end,？,0.01735075,-0.01252332,
,TP3,False,False,False,0.15,begin,ひ,0.02084888,-0.003498134,1.823875
,TP3,False,False,False,0.15,end,ひ,-6.996269E-05,-0.004127799,
,TP3,False,False,False,0.15,begin,か,-0.005876866,0.01308302,1.378372
,TP3,False,False,False,0.15,end,か,-0.002798508,0.009235075,
,TP3,False,False,False,0.15,begin,ぬ,-0.002308769,-0.004967351,1.016769
,TP3,False,False,False,0.15,end,ぬ,-0.0002798508,0.01791045,
,TP3,False,False,False,0.15,begin,へ,0.01196362,-0.006436567,1.419769
,TP3,False,False,False,0.15,end,へ,0.03120336,-0.003008396,
,TP3,False,False,False,0.15,begin,れ,0.01189366,-0.01791045,1.462006
,TP3,False,False,False,0.15,end,れ,0.03148321,-0.0104944,
,TP3,False,False,False,0.15,begin,め,-0.03015392,-0.01714086,1.86541
,TP3,False,False,False,0.15,end,め,-0.01175373,-0.0104944,
,TP3,False,False,False,0.15,begin,ひ,0.02364739,-0.005037314,1.51786
,TP3,False,False,False,0.15,end,ひ,-0.0046875,-0.006016791,
,TP3,False,False,False,0.15,begin,さ,0.01448228,0.007905784,1.350967
,TP3,False,False,False,0.15,end,さ,0.01287313,0.004617537,
,TP3,False,False,False,0.15,begin,ゆ,-0.003078358,-0.01868004,1.127411
,TP3,False,False,False,0.15,end,ゆ,-0.004617537,0.0006296642,
,TP3,False,False,False,0.15,begin,！,0.02497668,-0.03414179,1.727318
,TP3,False,False,False,0.15,end,！,0.01266325,-0.02973414,
,TP3,False,False,False,0.15,begin,め,-0.03078358,-0.02056903,3.577072
,TP3,False,False,False,0.15,end,め,-0.00860541,-0.01385261,
,TP3,False,False,False,0.15,begin,あ,-0.02014926,0.01091418,1.572548
,TP3,False,False,False,0.15,end,あ,-0.01749067,0.007486008,
,TP3,False,False,False,0.15,begin,て,-0.02525653,-0.006086754,1.240051
,TP3,False,False,False,0.15,end,て,-0.002938433,-0.00104944,
,TP3,False,False,False,0.15,begin,ま,-0.01944963,-0.01881996,1.504814
,TP3,False,False,False,0.15,end,ま,-0.01616138,-0.01658116,
,TP3,False,False,False,0.15,begin,る,0.02259795,-0.01958955,1.141823
,TP3,False,False,False,0.15,end,る,0.02147854,0.0004197761,
,TP3,False,False,False,0.15,begin,を,0.0003498135,-0.03414179,1.740479
,TP3,False,False,False,0.15,end,を,0.0004897388,-0.01881996,
,TP3,False,False,False,0.15,begin,し,0.02161847,0.01084422,2.464645
,TP3,False,False,False,0.15,end,し,0.007835821,0.01196362,
,TP3,False,False,False,0.15,begin,ー,-0.003218284,-0.03407183,2.032265
,TP3,False,False,False,0.15,end,ー,0.01637127,-0.03267258,
,TP3,False,False,False,0.15,begin,ほ,0.01784049,-0.004127799,2.057457
,TP3,False,False,False,0.15,end,ほ,0.02126866,-0.01469216,
,TP3,False,False,False,0.15,begin,り,0.02420709,-0.01833022,1.403641
,TP3,False,False,False,0.15,end,り,0.008885262,-0.01525187,
,TP3,False,False,False,0.15,begin,む,-0.01937966,-0.01343284,1.838387
,TP3,False,False,False,0.15,end,む,-0.01245336,0.002168843,
,TP3,False,False,False,0.15,begin,り,0.02693564,-0.01525187,1.824959
,TP3,False,False,False,0.15,end,り,0.007975747,-0.01497202,
,TP3,False,False,False,0.15,begin,ち,-0.01280317,6.996269E-05,1.475883
,TP3,False,False,False,0.15,end,ち,-0.0270056,-0.002308769,
,TP3,False,False,False,0.15,begin,変,-0.02357743,-0.03232276,2.117439
,TP3,False,False,False,0.15,end,変,-0.02665578,-0.03274254,
,TP3,False,False,False,0.15,begin,。,0.0311334,-0.03491138,2.158859
,TP3,False,False,False,0.15,end,。,0.01014459,-0.02910448,
,TP3,False,False,False,0.15,begin,、,0.0270056,-0.03064366,2.075691
,TP3,False,False,False,0.15,end,、,0.02588619,-0.02735541,
End
