ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,FALSE,FALSE,FALSE,0.15,end,よ,0.003917911,0.009305038,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ー,-0.003987873,-0.01672108,1.429255
,TP3,FALSE,FALSE,FALSE,0.15,end,ー,0.01441231,-0.02035914,
,TP3,FALSE,FALSE,FALSE,0.15,begin,と,-0.01798041,0.006856344,1.572906
,TP3,FALSE,FALSE,FALSE,0.15,end,と,-0.01875,-0.007206157,
,TP3,FALSE,FALSE,FALSE,0.15,begin,へ,0.01378265,0.003917911,1.406195
,TP3,FALSE,FALSE,FALSE,0.15,end,へ,0.03477146,0.003078358,
,TP3,FALSE,FALSE,FALSE,0.15,begin,み,-0.01553172,-0.00804571,1.490265
,TP3,FALSE,FALSE,FALSE,0.15,end,み,-0.03673041,-0.004617537,
,TP3,FALSE,FALSE,FALSE,0.15,begin,る,0.01651119,-0.008745336,1.463612
,TP3,FALSE,FALSE,FALSE,0.15,end,る,0.01784049,0.007975747,
,TP3,FALSE,FALSE,FALSE,0.15,begin,。,0.01861008,-0.02392724,1.614574
,TP3,FALSE,FALSE,FALSE,0.15,end,。,0.00181903,-0.02427705,
,TP3,FALSE,FALSE,FALSE,0.15,begin,と,-0.02616605,-0.000279851,2.88353
,TP3,FALSE,FALSE,FALSE,0.15,end,と,-0.02462687,-0.01154384,
,TP3,FALSE,FALSE,FALSE,0.15,begin,、,0.01693097,-0.02427705,1.81065
,TP3,FALSE,FALSE,FALSE,0.15,end,、,0.01371269,-0.02070896,
,TP3,FALSE,FALSE,FALSE,0.15,begin,変,-0.02609608,-0.02427705,2.507299
,TP3,FALSE,FALSE,FALSE,0.15,end,変,-0.02532649,-0.02448694,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ろ,0.01602146,-0.01287313,1.281437
,TP3,FALSE,FALSE,FALSE,0.15,end,ろ,0.02063899,-0.02553638,
,TP3,FALSE,FALSE,FALSE,0.15,begin,る,0.02357743,-0.01343284,1.323238
,TP3,FALSE,FALSE,FALSE,0.15,end,る,0.02434702,0.002168843,
,TP3,FALSE,FALSE,FALSE,0.15,begin,せ,0.0217584,0.01364272,1.378868
,TP3,FALSE,FALSE,FALSE,0.15,end,せ,0.04197761,0.0135028,
,TP3,FALSE,FALSE,FALSE,0.15,begin,む,-0.0140625,-0.009794776,1.713097
,TP3,FALSE,FALSE,FALSE,0.15,end,む,-0.004827425,0.003288246,
,TP3,FALSE,FALSE,FALSE,0.15,begin,ま,-0.01609142,-0.007695896,1.518417
,TP3,FALSE,FALSE,FALSE,0.15,end,ま,-0.01203358,-0.006786381,
