ID,KC,P,KBF,HCF,Distance,BorE,word,ux,uy,delta time
,TP3,False,True,True,0.15,end,そ,0.007416045,0.009864739,
,TP3,False,True,True,0.15,begin,け,0.007416045,0.009864739,1.03141
,TP3,False,True,True,0.15,end,け,0.007416045,0.009864739,
,TP3,False,True,True,0.15,begin,へ,0.007416045,0.009864739,0.02757263
,TP3,False,True,True,0.15,end,へ,0.007416045,0.009864739,
,TP3,False,True,True,0.15,begin,ち,0.007416045,0.009864739,0.02658081
,TP3,False,True,True,0.15,end,ち,0.007416045,0.009864739,
,TP3,False,True,True,0.15,begin,、,0.007416045,0.009864739,0.02748108
,TP3,False,True,True,0.15,end,、,0.007416045,0.009864739,
,TP3,False,True,True,0.15,begin,お,0.007416045,0.009864739,0.02776337
,TP3,False,True,True,0.15,end,お,0.007416045,-0.0004197761,
,TP3,False,True,True,0.15,begin,な,-0.00545709,-0.006436567,2.813454
,TP3,False,True,True,0.15,end,な,-0.004127799,-0.007625933,
,TP3,False,True,True,0.15,begin,あ,-0.02882463,0.009514926,1.140495
,TP3,False,True,True,0.15,end,あ,-0.02784515,0.004757463,
,TP3,False,True,True,0.15,begin,せ,0.0140625,0.01000466,1.281654
,TP3,False,True,True,0.15,end,せ,0.04260728,0.002378732,
,TP3,False,True,True,0.15,begin,？,0.02000933,-0.03351213,1.252968
,TP3,False,True,True,0.15,end,？,0.01770056,-0.01651119,
,TP3,False,True,True,0.15,begin,た,-0.0193097,-0.005527053,1.769356
,TP3,False,True,True,0.15,end,た,-0.01602146,-0.007905784,
,TP3,False,True,True,0.15,begin,と,-0.02539646,-0.005177239,1.212143
,TP3,False,True,True,0.15,end,と,-0.01854011,-0.01909981,
,TP3,False,True,True,0.15,begin,と,-0.02147854,-0.001469216,2.897018
,TP3,False,True,True,0.15,end,と,-0.01888993,-0.0204291,
,TP3,False,True,True,0.15,begin,す,0.01847015,0.008535448,1.392761
,TP3,False,True,True,0.15,end,す,0.03001399,0.02896455,
,TP3,False,True,True,0.15,end,？,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,ひ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,え,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,み,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,し,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,ち,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,を,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,や,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,へ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,ゆ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,、,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,ー,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,わ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,せ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,わ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,ゆ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,end,れ,0.03414179,0.02350746,
,TP3,False,True,True,0.15,begin,も,0.01483209,-0.03050373,1.601913
,TP3,False,True,True,0.15,end,も,0.02035914,-0.0129431,
,TP3,False,True,True,0.15,begin,た,-0.01805037,0.0001399254,1.504654
,TP3,False,True,True,0.15,end,た,-0.01602146,-0.003917911,
,TP3,False,True,True,0.15,begin,め,-0.02133862,-0.01448228,1.1698
,TP3,False,True,True,0.15,end,め,0.01637127,-0.02413713,
,TP3,False,True,True,0.15,begin,き,0.00545709,0.01770056,1.197922
,TP3,False,True,True,0.15,end,き,-0.01189366,0.01693097,
