ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,delta time
1,3,TP3,False,False,False,0.3,end,よ,-0.0175,-0.017625,-1,,,,,,-1,,,,,,
1,3,TP3,False,False,False,0.3,begin,へ,0.0175,0.003625,0.03743004,0.03358209,0.03358209,-1,-1,-1,-0.004337687,-0.003428172,-0.003428172,-1,-1,-1,4.069977
1,3,TP3,False,False,False,0.3,end,へ,0.0175,0.003625,-1,,,,,,-1,,,,,,
1,3,TP3,False,False,False,0.3,begin,ゆ,-0.0175,-0.017625,-0.005876866,-0.009864739,-0.009864739,-0.01105411,-0.01392257,-1,-0.02560634,-0.02672575,-0.02672575,-0.02686567,-0.0275653,-1,3.967538
1,3,TP3,False,False,False,0.3,end,ゆ,-0.0175,-0.017625,-0.03211287,,,,,,-0.02546642,,,,,,
1,3,TP3,False,False,False,0.3,begin,！,0.0175,-0.038875,0.03547108,0.03736008,0.03736008,0.03729011,0.03729011,-1,-0.02658582,-0.0275653,-0.0275653,-0.0264459,-0.0264459,-1,6.029904
1,3,TP3,False,False,False,0.3,end,！,0.0175,-0.038875,0.02770522,,,,,,-0.0170709,,,,,,
1,3,TP3,False,False,False,0.3,begin,E,0.0525,-0.028875,0.06345616,-1,-1,-1,-1,-1,-0.03148321,-1,-1,-1,-1,-1,6.765259
1,3,TP3,False,False,False,0.3,end,E,0.0525,-0.028875,-1,,,,,,-1,,,,,,
1,3,TP3,False,False,False,0.3,begin,？,0.0175,-0.038875,0.03987873,0.03756996,0.03756996,0.03729011,0.03659049,-1,-0.02525653,-0.02315765,-0.02315765,-0.02280784,-0.02140858,-1,5.917284
1,3,TP3,False,False,False,0.3,end,？,0.0175,-0.038875,-1,,,,,,-1,,,,,,
1,3,TP3,False,False,False,0.3,begin,つ,-0.0525,0.003625,-0.02833489,-0.03288246,-0.03428172,-0.03428172,-0.03456157,-0.03456157,-0.003358209,-0.004827425,-0.005597015,-0.005597015,-0.007695896,-0.007695896,4.080479
1,3,TP3,False,False,False,0.3,end,つ,-0.0525,0.003625,-0.02791511,,,,,,-0.002378732,,,,,,
1,3,TP3,False,False,False,0.3,begin,、,0.0175,-0.038875,0.04701493,0.0451959,0.0451959,0.04498601,0.04498601,0.04344683,-0.0270056,-0.02819496,-0.02819496,-0.02833489,-0.02833489,-0.02896455,3.522465
1,3,TP3,False,False,False,0.3,end,、,0.0175,-0.038875,-1,,,,,,-1,,,,,,
