ID,Mode,KC,P,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,delta time
1,3,TP3,False,False,False,0.3,end,は,0.0175,0.003625,0.0245569,,,,,,-0.006576493,,,,,,
1,3,TP3,False,False,False,0.3,begin,ほ,0.0175,0.003625,0.03106343,0.02903452,0.02903452,0.02861474,0.02861474,0.02840485,0.003358209,-6.996269E-05,-6.996269E-05,0.0001399254,0.0001399254,0.0003498135,2.73088
1,3,TP3,False,False,False,0.3,end,ほ,0.0175,0.003625,0.03120336,,,,,,-0.006016791,,,,,,
1,3,TP3,False,False,False,0.3,begin,う,-0.0525,0.024875,-0.02441698,-0.02357743,-0.02476679,-0.02476679,-0.0223181,-0.0223181,0.02280784,0.01888993,0.01798041,0.01798041,0.01728078,0.01728078,2.687044
1,3,TP3,False,False,False,0.3,end,う,-0.0525,0.024875,-0.02035914,,,,,,0.03092351,,,,,,
1,3,TP3,False,False,False,0.3,begin,そ,0.0175,0.024875,0.02294776,0.02497668,0.02497668,0.02448694,0.02350746,0.02147854,0.02161847,0.01868004,0.01868004,0.01651119,0.01560168,0.01455224,2.646252
1,3,TP3,False,False,False,0.3,end,そ,0.0175,0.024875,0.0286847,,,,,,0.01112407,,,,,,
1,3,TP3,False,False,False,0.3,begin,そ,0.0175,0.024875,0.0228778,0.02413713,0.02413713,0.0228778,0.02098881,0.01658116,0.02392724,0.01993937,0.01993937,0.01833022,0.01700093,0.01525187,2.591208
1,3,TP3,False,False,False,0.3,end,そ,0.0175,0.024875,0.02784515,,,,,,0.0123834,,,,,,
1,3,TP3,False,False,False,0.3,begin,E,0.0525,-0.028875,0.04876399,0.04659515,0.04918377,0.04918377,0.04918377,0.05023321,-0.01602146,-0.01721082,-0.01756063,-0.01756063,-0.01756063,-0.01602146,2.577724
1,3,TP3,False,False,False,0.3,end,E,0.0525,-0.028875,6.996269E-05,,,,,,-0.01532183,,,,,,
1,3,TP3,False,False,False,0.3,begin,り,0.0175,-0.017625,0.03414179,0.02693564,0.02616605,0.02616605,0.02539646,0.02539646,-0.008535448,-0.008675373,-0.00832556,-0.00832556,-0.008255597,-0.00727612,2.214247
1,3,TP3,False,False,False,0.3,end,り,0.0175,-0.017625,0.01133396,,,,,,-0.003987873,,,,,,
1,3,TP3,False,False,False,0.3,begin,、,0.0175,-0.038875,0.02630597,0.0239972,0.0239972,0.02147854,0.01965952,0.01902985,-0.0234375,-0.01483209,-0.01483209,-0.01028452,-0.006716418,-0.004057836,2.31185
1,3,TP3,False,False,False,0.3,end,、,0.0175,-0.038875,0.02476679,,,,,,-0.02525653,,,,,,
1,3,TP3,False,False,False,0.3,begin,し,0.0175,0.024875,0.03071362,0.02497668,0.02497668,0.02238806,0.02084888,0.02084888,0.02168843,0.01392257,0.01392257,0.0104944,0.002098881,-0.004267724,2.213923
1,3,TP3,False,False,False,0.3,end,し,0.0175,0.024875,0.01602146,,,,,,0.01972948,,,,,,
1,3,TP3,False,False,False,0.3,begin,か,-0.0175,0.024875,-0.002238806,0.001888993,0.004967351,0.008395523,0.01175373,0.01378265,0.02427705,0.02126866,0.02021922,0.01875,0.0170709,0.01644123,2.395836
1,3,TP3,False,False,False,0.3,end,か,-0.0175,0.024875,-0.001679105,,,,,,0.02203825,,,,,,
1,3,TP3,False,False,False,0.3,begin,あ,-0.0525,0.024875,-0.02728545,-0.01301306,-0.01301306,-0.00832556,-0.003358209,-0.002448694,0.02441698,0.01784049,0.01784049,0.01588153,0.01364272,0.01315299,2.088982
1,3,TP3,False,False,False,0.3,end,あ,-0.0525,0.024875,-0.02581623,,,,,,0.0223181,,,,,,
1,3,TP3,False,False,False,0.3,begin,E,0.0525,-0.028875,0.04393657,0.04176772,0.04176772,0.04134795,0.04134795,-0.007136195,-0.02224814,-0.02434702,-0.02434702,-0.02532649,-0.02532649,0.01189366,2.298428
1,3,TP3,False,False,False,0.3,end,E,0.0525,-0.028875,0.04827426,,,,,,-0.01315299,,,,,,
1,3,TP3,False,False,False,0.3,begin,も,-0.0525,-0.017625,-0.02420709,-0.02238806,-0.02238806,-0.02378731,-0.02378731,-0.02350746,-0.00104944,-0.002798508,-0.002798508,-0.004197761,-0.004197761,-0.004547575,2.421532
1,3,TP3,False,False,False,0.3,end,も,-0.0525,-0.017625,-0.02707556,,,,,,-0.007695896,,,,,,
1,3,TP3,False,False,False,0.3,begin,は,0.0175,0.003625,0.03092351,0.02546642,0.02105877,0.01560168,0.01560168,0.002518657,0.005946829,0.007625933,0.007975747,0.00804571,0.00804571,0.006716418,2.620125
1,3,TP3,False,False,False,0.3,end,は,0.0175,0.003625,0.02875466,,,,,,0.007136195,,,,,,
1,3,TP3,False,False,False,0.3,begin,そ,0.0175,0.024875,0.02567631,0.02497668,0.02497668,0.02336754,0.02336754,0.02203825,0.02889459,0.02021922,0.02021922,0.01231343,0.01231343,0.007835821,2.071823
1,3,TP3,False,False,False,0.3,end,そ,0.0175,0.024875,0.02539646,,,,,,0.01581157,,,,,,
1,3,TP3,False,False,False,0.3,begin,の,-0.0175,0.003625,-0.008535448,-0.008395523,-0.008395523,-0.0046875,-0.0046875,-0.001189366,0.01161381,0.009375,0.009375,0.008675373,0.008675373,0.008675373,2.423882
1,3,TP3,False,False,False,0.3,end,の,-0.0175,0.003625,-0.005876866,,,,,,0.003777985,,,,,,
