ID,Mode,KC,P,HP,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time,pre_rx,pre_ry
2,2,TP3,True,False,False,False,0.3,end,し,0.0125,0.024875,-0.0521362,,,,,,0.008059702,,,,,,-1,-1,,0,0
2,2,TP3,True,False,False,False,0.3,begin,し,0.0125,0.024875,-0.06724814,-0.05499068,-0.05499068,-0.05280784,-0.05280784,-0.0521362,0.01099814,0.008143658,0.008143658,0.007639926,0.007639926,0.008059702,-1,-1,0.4086456,-0.0521362,0.008059702
2,2,TP3,True,False,False,False,0.3,end,し,0.0125,0.024875,-0.05616605,,,,,,0.005037314,,,,,,-1,-1,,-0.0521362,0.008059702
2,2,TP3,True,False,False,False,0.3,begin,E,0.0375,-0.028875,-0.05818097,-0.0465112,-0.0465112,-0.04189366,-0.03811568,-0.03610075,0.01343284,0.01057836,0.01057836,0.01041045,0.01041045,0.01032649,-1,-1,0.8299103,-0.05616605,0.005037314
2,2,TP3,True,False,False,False,0.3,end,E,0.0375,-0.028875,-0.06044777,,,,,,0.009738807,,,,,,-1,-1,,-0.05616605,0.005037314
2,2,TP3,True,False,False,False,0.3,begin,S,0.0375,0.003625,-0.02115672,-0.03870336,-0.03870336,-0.05028918,-0.05028918,-0.05087687,0.01393657,0.009067165,0.009067165,0.008227613,0.008227613,0.008227613,-1,-1,1.058426,-0.06044777,0.009738807
2,2,TP3,True,False,False,False,0.3,end,S,0.0375,0.003625,-0.02098881,,,,,,0.01141791,,,,,,-1,-1,,-0.06044777,0.009738807
2,2,TP3,True,False,False,False,0.3,begin,S,0.0375,0.003625,-0.02694963,-0.0208209,-0.0208209,-0.0208209,-0.0208209,-0.02098881,0.01460821,0.01133396,0.01133396,0.01141791,0.01141791,0.01141791,-1,-1,0.4595642,-0.02098881,0.01141791
2,2,TP3,True,False,False,False,0.3,end,S,0.0375,0.003625,-0.03962687,,,,,,0.009570897,,,,,,-1,-1,,-0.02098881,0.01141791
2,2,TP3,True,False,False,False,0.3,begin,S,0.0375,0.003625,-0.02233209,-0.03744403,-0.03744403,-0.03996269,-0.03996269,-0.03962687,-0.002434702,0.006380598,0.006380598,0.009402986,0.009402986,0.009570897,-1,-1,0.6820984,-0.03962687,0.009570897
2,2,TP3,True,False,False,False,0.3,end,ー,-0.0125,-0.038875,-0.03249067,,,,,,-0.008815299,,,,,,-1,-1,,-0.03962687,0.009570897
2,2,TP3,True,False,False,False,0.3,begin,E,0.0375,-0.028875,0.0256903,0.03198694,0.03198694,-1,-1,-1,-0.01737873,-0.0305597,-0.0305597,-1,-1,-1,-1,-1,8.577698,-0.03249067,-0.008815299
2,2,TP3,True,False,False,False,0.3,end,E,0.0375,-0.028875,0.03912314,,,,,,-0.02224814,,,,,,-1,-1,,-0.03249067,-0.008815299
