ID,Mode,KC,P,HP,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time,pre_rx,pre_ry
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,end,せ,0.0125,0.024875,-1,,,,,,-1,,,,,,-1,-1,,0,0
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,begin,E,0.0375,-0.028875,0.04290112,0.04508396,0.04508396,0.04508396,0.02787314,0.02787314,-0.03534515,-0.0329944,-0.0329944,-0.03475747,0.01796642,0.01796642,-1,-1,4.091591,-1,-1
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,end,E,0.0375,-0.028875,0.04029851,,,,,,-0.03559702,,,,,,-1,-1,,-1,-1
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,begin,ち,-0.0375,0.003625,-0.03375,-0.02930037,-0.02686567,-0.02686567,-0.02224814,-0.02224814,0.006632463,0.004785448,0.004701493,0.004701493,0.004785448,0.004785448,-1,-1,2.520243,0.04029851,-0.03559702
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,end,ち,-0.0375,0.003625,-0.03257463,,,,,,0.005373135,,,,,,-1,-1,,0.04029851,-0.03559702
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,begin,え,-0.0375,0.024875,-0.03458956,-0.0352612,-0.0352612,-0.03484142,-0.03484142,-0.03492538,0.01914179,0.01527985,0.01527985,0.01662314,0.01662314,0.01561567,-1,-1,2.882469,-0.03257463,0.005373135
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,end,え,-0.0375,0.024875,-0.03475747,,,,,,0.02485075,,,,,,-1,-1,,-0.03257463,0.005373135
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,begin,る,0.0125,-0.017625,0.02342351,0.02157649,0.02157649,0.02040112,0.01947761,0.01880597,-0.02594217,-0.02577426,-0.02577426,-0.0256903,-0.02560635,-0.02560635,-1,-1,2.826567,-0.03475747,0.02485075
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,end,る,0.0125,-0.017625,0.02191232,,,,,,-0.01947761,,,,,,-1,-1,,-0.03475747,0.02485075
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,begin,み,-0.0375,-0.017625,-0.03534515,-0.03198694,-0.02997202,-0.02997202,-0.02224814,-0.02224814,-0.01788246,-0.01956157,-0.01947761,-0.01947761,-0.0200653,-0.0200653,-1,-1,2.896152,0.02191232,-0.01947761
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,end,み,-0.0375,-0.017625,-0.03013993,,,,,,-0.01754664,,,,,,-1,-1,,0.02191232,-0.01947761
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,begin,B,0.0375,0.024875,0.0530597,0.05507463,0.05507463,0.05541045,0.05541045,0.0553265,0.02736941,0.02451493,0.02451493,0.02392724,0.02392724,0.02132463,-1,-1,2.743101,-0.03013993,-0.01754664
2,2,TP3,TRUE,FALSE,FALSE,FALSE,0.3,end,B,0.0375,0.024875,0.05717351,,,,,,0.02669776,,,,,,-1,-1,,-0.03013993,-0.01754664
