ID,Mode,KC,P,HP,KBF,HCF,Distance,BorE,word,rx,ry,ux,ux1,ux2,ux3,ux4,ux5,uy,uy1,uy2,uy3,uy4,uy5,px,py,delta time,pre_rx,pre_ry
2,2,TP3,True,False,False,False,0.3,end,お,-0.0375,0.024875,-1,,,,,,-1,,,,,,-1,-1,,0,0
2,2,TP3,True,False,False,False,0.3,begin,変,-0.0375,-0.038875,-0.04466418,-0.05549441,-0.05549441,-1,-1,-1,-0.04416045,-0.039375,-0.039375,-1,-1,-1,-1,-1,2.938648,-1,-1
2,2,TP3,True,False,False,False,0.3,end,変,-0.0375,-0.038875,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
2,2,TP3,True,False,False,False,0.3,begin,せ,0.0125,0.024875,0.02073694,-1,-1,-1,-1,-1,0.02308769,-1,-1,-1,-1,-1,-1,-1,2.605141,-1,-1
2,2,TP3,True,False,False,False,0.3,end,せ,0.0125,0.024875,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
2,2,TP3,True,False,False,False,0.3,begin,へ,0.0125,0.003625,0.01385261,0.008731344,0.008731344,0.004953359,0.002938433,-0.0007555971,-0.004449627,-0.006716419,-0.006716419,-0.006800374,-0.007807836,-0.007891792,-1,-1,2.674164,-1,-1
2,2,TP3,True,False,False,False,0.3,end,へ,0.0125,0.003625,0.05272388,,,,,,-0.002854478,,,,,,-1,-1,,-1,-1
2,2,TP3,True,False,False,False,0.3,begin,す,0.0125,0.024875,0.02182836,0.03072761,0.03072761,0.03509329,0.03509329,0.03668844,0.02132463,0.03022388,0.03022388,0.03307836,0.03307836,0.0329944,-1,-1,2.312351,0.05272388,-0.002854478
2,2,TP3,True,False,False,False,0.3,end,す,0.0125,0.024875,0.02795709,,,,,,0.03366605,,,,,,-1,-1,,0.05272388,-0.002854478
2,2,TP3,True,False,False,False,0.3,begin,S,0.0375,0.003625,0.05045709,0.05398321,0.05398321,0.05322761,0.04911381,-0.01057836,0.005792911,0.003945896,0.003945896,0.00369403,0.003022388,-0.00528918,-1,-1,2.116631,0.02795709,0.03366605
2,2,TP3,True,False,False,False,0.3,end,S,0.0375,0.003625,0.05717351,,,,,,0.004701493,,,,,,-1,-1,,0.02795709,0.03366605
2,2,TP3,True,False,False,False,0.3,begin,つ,-0.0375,0.003625,-0.04483209,-0.03912314,-0.03912314,-0.02728545,-0.02728545,-0.01586754,-0.002014925,-0.004533582,-0.004533582,-0.004029851,-0.004029851,-0.002854478,-1,-1,1.977806,0.05717351,0.004701493
2,2,TP3,True,False,False,False,0.3,end,つ,-0.0375,0.003625,-1,,,,,,-1,,,,,,-1,-1,,0.05717351,0.004701493
2,2,TP3,True,False,False,False,0.3,begin,変,-0.0375,-0.038875,-0.04508396,-0.04693097,-0.04693097,-1,-1,-1,-0.03291045,-0.03307836,-0.03307836,-1,-1,-1,-1,-1,2.72876,-1,-1
2,2,TP3,True,False,False,False,0.3,end,変,-0.0375,-0.038875,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
2,2,TP3,True,False,False,False,0.3,begin,、,0.0125,-0.038875,0.01452425,0.0008395523,0.0008395523,-0.001091418,-0.001091418,-0.006884329,-0.0225,-0.01888993,-0.01888993,-0.01561567,-0.01561567,-0.01007463,-1,-1,2.506727,-1,-1
2,2,TP3,True,False,False,False,0.3,end,、,0.0125,-0.038875,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
2,2,TP3,True,False,False,False,0.3,begin,ゆ,-0.0125,-0.017625,-0.01981344,-0.02619403,-0.02619403,-0.02367537,-0.02166045,-0.02115672,-0.005625,-0.01015858,-0.01015858,-0.0104944,-0.009990673,-0.009990673,-1,-1,2.583544,-1,-1
2,2,TP3,True,False,False,False,0.3,end,ゆ,-0.0125,-0.017625,-1,,,,,,-1,,,,,,-1,-1,,-1,-1
2,2,TP3,True,False,False,False,0.3,begin,B,0.0375,0.024875,0.03929105,0.0232556,0.0232556,0.016875,0.016875,-1,0.0369403,0.01712687,0.01712687,0.01099814,0.01099814,-1,-1,-1,2.548878,-1,-1
2,2,TP3,True,False,False,False,0.3,end,B,0.0375,0.024875,0.05389926,,,,,,0.02988806,,,,,,-1,-1,,-1,-1
2,2,TP3,True,False,False,False,0.3,begin,る,0.0125,-0.017625,0.02367537,0.02283582,0.02283582,0.01746269,0.01746269,0.01695896,-0.01469216,-0.01544776,-0.01544776,-0.01511194,-0.01511194,-0.01511194,-1,-1,2.25658,0.05389926,0.02988806
2,2,TP3,True,False,False,False,0.3,end,る,0.0125,-0.017625,0.01435634,,,,,,0.01225746,,,,,,-1,-1,,0.05389926,0.02988806
2,2,TP3,True,False,False,False,0.3,begin,E,0.0375,-0.028875,0.05734142,0.04432836,0.04432836,0.03257463,0.03257463,0.002182836,-0.02056903,-0.02098881,-0.02098881,-0.01796642,-0.01796642,-0.01586754,-1,-1,2.131031,0.01435634,0.01225746
2,2,TP3,True,False,False,False,0.3,end,E,0.0375,-0.028875,-0.01964552,,,,,,-0.01041045,,,,,,-1,-1,,0.01435634,0.01225746
2,2,TP3,True,False,False,False,0.3,begin,も,-0.0375,-0.017625,-0.03954291,-0.03996269,-0.04323694,-0.03719217,-0.03719217,-0.02611008,-0.01712687,-0.02040112,-0.01956157,-0.01309702,-0.01309702,-0.01192164,-1,-1,2.632607,-0.01964552,-0.01041045
2,2,TP3,True,False,False,False,0.3,end,も,-0.0375,-0.017625,-0.04248135,,,,,,-0.03559702,,,,,,-1,-1,,-0.01964552,-0.01041045
2,2,TP3,True,False,False,False,0.3,begin,や,-0.0125,-0.017625,-0.001007463,-0.003777985,-0.003777985,-0.004533582,-0.004533582,-0.00528918,-0.01578358,-0.01032649,-0.01032649,-0.01057836,-0.01057836,-0.01091418,-1,-1,2.159077,-0.04248135,-0.03559702
2,2,TP3,True,False,False,False,0.3,end,や,-0.0125,-0.017625,-0.004281717,,,,,,-0.01637127,,,,,,-1,-1,,-0.04248135,-0.03559702
2,2,TP3,True,False,False,False,0.3,begin,変,-0.0375,-0.038875,-0.05255597,-0.05003732,-0.04844217,-0.04844217,-0.04113806,-0.04113806,-0.03013993,-0.03089553,-0.03114739,-0.03114739,-0.03013993,-0.03013993,-1,-1,2.130959,-0.004281717,-0.01637127
2,2,TP3,True,False,False,False,0.3,end,変,-0.0375,-0.038875,-0.05171642,,,,,,-0.03139926,,,,,,-1,-1,,-0.004281717,-0.01637127
2,2,TP3,True,False,False,False,0.3,begin,ぬ,-0.0125,0.003625,-0.01704291,-0.02149254,-0.0217444,-0.02182836,-0.02182836,-0.02216418,-0.0003358209,-0.00528918,-0.005541045,-0.006548508,-0.006548508,-0.007555971,-1,-1,2.019691,-0.05171642,-0.03139926
2,2,TP3,True,False,False,False,0.3,end,ぬ,-0.0125,0.003625,-0.01637127,,,,,,0.00722015,,,,,,-1,-1,,-0.05171642,-0.03139926
